Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
Dorset,3,100.0%,0,0.0%,108,81.8%,24,18.2%,11,73.3%,4,26.7%,12,100.0%,0,0.0%,3,75.0%,1,25.0%,56,91.8%,5,8.2%,7,100.0%,0,0.0%,23,92.0%,2,8.0%,35,100.0%,0,0.0%,26,83.9%,5,16.1%,6,85.7%,1,14.3%,108,88.5%,14,11.5%,20,100.0%,Mar.csv 2018
Durham,0,-,0,-,113,85.6%,19,14.4%,2,50.0%,2,50.0%,18,90.0%,2,10.0%,4,100.0%,0,0.0%,105,95.5%,5,4.5%,7,77.8%,2,22.2%,32,86.5%,5,13.5%,9,90.0%,1,10.0%,27,93.1%,2,6.9%,2,66.7%,1,33.3%,89,98.9%,1,1.1%,9,100.0%,Mar.csv 2018
Dyfed Powys,0,-,0,-,68,87.2%,10,12.8%,6,75.0%,2,25.0%,4,100.0%,0,0.0%,0,0,0,0,24,92.3%,2,7.7%,5,100.0%,0,0.0%,18,90.0%,2,10.0%,25,86.2%,4,13.8%,22,95.7%,1,4.3%,0,0.0%,1,100.0%,69,86.3%,11,13.8%,3,100.0%,Mar.csv 2018
Essex,4,100.0%,0,0.0%,227,78.3%,63,21.7%,35,83.3%,7,16.7%,30,88.2%,4,11.8%,14,100.0%,0,0.0%,136,93.8%,9,6.2%,20,90.9%,2,9.1%,24,77.4%,7,22.6%,73,91.3%,7,8.8%,36,73.5%,13,26.5%,8,88.9%,1,11.1%,213,73.4%,77,26.6%,16,100.0%,Mar.csv 2018
Gloucestershire,2,100.0%,0,0.0%,74,77.9%,21,22.1%,2,66.7%,1,33.3%,4,80.0%,1,20.0%,0,0,0,0,43,84.3%,8,15.7%,7,100.0%,0,0.0%,11,91.7%,1,8.3%,24,85.7%,4,14.3%,6,75.0%,2,25.0%,3,100.0%,0,0.0%,70,87.5%,10,12.5%,5,100.0%,Mar.csv 2018
GreaterManchester,3,75.0%,1,25.0%,452,84.3%,84,15.7%,92,76.7%,28,23.3%,44,95.7%,2,4.3%,29,90.6%,3,9.4%,140,94.0%,9,6.0%,26,86.7%,4,13.3%,69,94.5%,4,5.5%,96,93.2%,7,6.8%,114,91.9%,10,8.1%,36,94.7%,2,5.3%,331,86.2%,53,13.8%,22,100.0%,Mar.csv 2018
Gwent,0,-,0,-,71,79.8%,18,20.2%,8,72.7%,3,27.3%,7,100.0%,0,0.0%,1,50.0%,1,50.0%,54,93.1%,4,6.9%,11,91.7%,1,8.3%,18,75.0%,6,25.0%,29,87.9%,4,12.1%,27,81.8%,6,18.2%,7,87.5%,1,12.5%,74,90.2%,8,9.8%,2,100.0%,Mar.csv 2018
Hampshire,2,100.0%,0,0.0%,274,82.0%,60,18.0%,26,86.7%,4,13.3%,19,95.0%,1,5.0%,1,100.0%,0,0.0%,192,95.0%,10,5.0%,17,89.5%,2,10.5%,34,82.9%,7,17.1%,63,98.4%,1,1.6%,76,88.4%,10,11.6%,15,93.8%,1,6.3%,186,88.6%,24,11.4%,21,100.0%,Mar.csv 2018
Hertfordshire,0,-,0,-,151,83.4%,30,16.6%,3,75.0%,1,25.0%,25,86.2%,4,13.8%,4,100.0%,0,0.0%,129,92.8%,10,7.2%,31,88.6%,4,11.4%,23,79.3%,6,20.7%,59,98.3%,1,1.7%,34,77.3%,10,22.7%,11,100.0%,0,0.0%,130,77.8%,37,22.2%,17,100.0%,Mar.csv 2018
Humberside,2,100.0%,0,0.0%,167,88.8%,21,11.2%,7,70.0%,3,30.0%,30,85.7%,5,14.3%,4,66.7%,2,33.3%,130,94.2%,8,5.8%,13,92.9%,1,7.1%,36,92.3%,3,7.7%,47,94.0%,3,6.0%,33,89.2%,4,10.8%,11,91.7%,1,8.3%,97,87.4%,14,12.6%,14,100.0%,Mar.csv 2018
Kent,7,63.6%,4,36.4%,272,78.2%,76,21.8%,22,66.7%,11,33.3%,31,77.5%,9,22.5%,10,90.9%,1,9.1%,130,89.7%,15,10.3%,25,89.3%,3,10.7%,33,82.5%,7,17.5%,97,90.7%,10,9.3%,51,87.9%,7,12.1%,39,81.3%,9,18.8%,206,88.8%,26,11.2%,21,100.0%,Mar.csv 2018
Lancashire,4,80.0%,1,20.0%,255,80.4%,62,19.6%,9,100.0%,0,0.0%,50,94.3%,3,5.7%,27,84.4%,5,15.6%,203,88.6%,26,11.4%,19,95.0%,1,5.0%,47,85.5%,8,14.5%,64,92.8%,5,7.2%,116,93.5%,8,6.5%,15,100.0%,0,0.0%,233,89.3%,28,10.7%,17,100.0%,Mar.csv 2018
Leicestershire,3,75.0%,1,25.0%,178,80.2%,44,19.8%,17,70.8%,7,29.2%,26,89.7%,3,10.3%,4,57.1%,3,42.9%,124,93.9%,8,6.1%,19,90.5%,2,9.5%,22,78.6%,6,21.4%,38,84.4%,7,15.6%,26,81.3%,6,18.8%,10,83.3%,2,16.7%,132,79.0%,35,21.0%,24,100.0%,Mar.csv 2018
Lincolnshire,0,-,0,-,129,90.2%,14,9.8%,5,83.3%,1,16.7%,15,100.0%,0,0.0%,1,100.0%,0,0.0%,77,91.7%,7,8.3%,12,75.0%,4,25.0%,25,75.8%,8,24.2%,34,100.0%,0,0.0%,33,89.2%,4,10.8%,5,100.0%,0,0.0%,139,80.8%,33,19.2%,38,100.0%,Mar.csv 2018
Merseyside,1,50.0%,1,50.0%,269,81.8%,60,18.2%,26,86.7%,4,13.3%,19,90.5%,2,9.5%,8,100.0%,0,0.0%,153,98.1%,3,1.9%,17,63.0%,10,37.0%,58,95.1%,3,4.9%,177,94.7%,10,5.3%,55,76.4%,17,23.6%,10,90.9%,1,9.1%,244,84.4%,45,15.6%,25,100.0%,Mar.csv 2018
Metropolitan and City,18,81.8%,4,18.2%,"1,279",71.5%,511,28.5%,108,66.3%,55,33.7%,140,78.2%,39,21.8%,84,71.8%,33,28.2%,640,86.8%,97,13.2%,173,86.5%,27,13.5%,176,77.9%,50,22.1%,826,90.8%,84,9.2%,390,78.8%,105,21.2%,202,91.0%,20,9.0%,979,77.1%,291,22.9%,236,100.0%,Mar.csv 2018
Norfolk,2,100.0%,0,0.0%,154,81.9%,34,18.1%,10,90.9%,1,9.1%,7,87.5%,1,12.5%,7,100.0%,0,0.0%,91,90.1%,10,9.9%,12,92.3%,1,7.7%,42,87.5%,6,12.5%,43,100.0%,0,0.0%,66,86.8%,10,13.2%,4,66.7%,2,33.3%,146,90.7%,15,9.3%,7,100.0%,Mar.csv 2018
Northamptonshire,2,100.0%,0,0.0%,108,73.0%,40,27.0%,4,100.0%,0,0.0%,9,56.3%,7,43.8%,3,75.0%,1,25.0%,53,85.5%,9,14.5%,9,75.0%,3,25.0%,21,84.0%,4,16.0%,24,77.4%,7,22.6%,25,75.8%,8,24.2%,10,100.0%,0,0.0%,74,88.1%,10,11.9%,43,100.0%,Mar.csv 2018
Northumbria,0,-,0,-,236,71.1%,96,28.9%,32,78.0%,9,22.0%,33,73.3%,12,26.7%,4,100.0%,0,0.0%,293,92.1%,25,7.9%,24,82.8%,5,17.2%,60,80.0%,15,20.0%,61,87.1%,9,12.9%,121,84.0%,23,16.0%,10,83.3%,2,16.7%,187,86.2%,30,13.8%,6,100.0%,Mar.csv 2018
North Wales,1,50.0%,1,50.0%,167,83.9%,32,16.1%,15,75.0%,5,25.0%,14,82.4%,3,17.6%,4,66.7%,2,33.3%,75,97.4%,2,2.6%,6,75.0%,2,25.0%,27,81.8%,6,18.2%,35,97.2%,1,2.8%,43,95.6%,2,4.4%,8,80.0%,2,20.0%,113,89.0%,14,11.0%,1,100.0%,Mar.csv 2018
North Yorkshire,1,100.0%,0,0.0%,112,83.0%,23,17.0%,4,100.0%,0,0.0%,11,84.6%,2,15.4%,1,100.0%,0,0.0%,91,90.1%,10,9.9%,12,100.0%,0,0.0%,23,88.5%,3,11.5%,37,97.4%,1,2.6%,55,93.2%,4,6.8%,8,80.0%,2,20.0%,98,91.6%,9,8.4%,5,100.0%,Mar.csv 2018
Nottinghamshire,0,0.0%,1,100.0%,232,83.2%,47,16.8%,30,63.8%,17,36.2%,26,89.7%,3,10.3%,11,100.0%,0,0.0%,195,91.1%,19,8.9%,20,83.3%,4,16.7%,41,91.1%,4,8.9%,115,88.5%,15,11.5%,74,82.2%,16,17.8%,16,100.0%,0,0.0%,124,88.6%,16,11.4%,44,100.0%,Mar.csv 2018
South Wales,4,100.0%,0,0.0%,277,77.6%,80,22.4%,16,59.3%,11,40.7%,32,88.9%,4,11.1%,4,80.0%,1,20.0%,184,93.9%,12,6.1%,30,81.1%,7,18.9%,63,90.0%,7,10.0%,117,94.4%,7,5.6%,111,91.0%,11,9.0%,22,81.5%,5,18.5%,205,81.0%,48,19.0%,10,100.0%,Mar.csv 2018
South Yorkshire,2,66.7%,1,33.3%,183,75.9%,58,24.1%,14,87.5%,2,12.5%,33,82.5%,7,17.5%,9,60.0%,6,40.0%,114,95.8%,5,4.2%,13,100.0%,0,0.0%,34,79.1%,9,20.9%,56,98.2%,1,1.8%,63,88.7%,8,11.3%,11,84.6%,2,15.4%,100,86.2%,16,13.8%,21,100.0%,Mar.csv 2018
Staffordshire,2,100.0%,0,0.0%,146,76.4%,45,23.6%,13,59.1%,9,40.9%,11,78.6%,3,21.4%,5,83.3%,1,16.7%,129,97.7%,3,2.3%,13,86.7%,2,13.3%,35,87.5%,5,12.5%,53,94.6%,3,5.4%,53,91.4%,5,8.6%,26,96.3%,1,3.7%,140,92.1%,12,7.9%,18,100.0%,Mar.csv 2018
Suffolk,1,100.0%,0,0.0%,97,77.6%,28,22.4%,6,100.0%,0,0.0%,6,75.0%,2,25.0%,2,100.0%,0,0.0%,44,97.8%,1,2.2%,5,83.3%,1,16.7%,10,90.9%,1,9.1%,42,97.7%,1,2.3%,31,93.9%,2,6.1%,3,60.0%,2,40.0%,83,84.7%,15,15.3%,10,100.0%,Mar.csv 2018
Surrey,0,-,0,-,117,76.0%,37,24.0%,17,89.5%,2,10.5%,10,100.0%,0,0.0%,0,0,0,0,51,82.3%,11,17.7%,10,83.3%,2,16.7%,14,93.3%,1,6.7%,33,91.7%,3,8.3%,25,83.3%,5,16.7%,10,76.9%,3,23.1%,124,87.9%,17,12.1%,12,100.0%,Mar.csv 2018
Sussex,0,-,0,-,212,83.1%,43,16.9%,29,72.5%,11,27.5%,16,94.1%,1,5.9%,1,100.0%,0,0.0%,104,92.0%,9,8.0%,18,100.0%,0,0.0%,20,83.3%,4,16.7%,69,95.8%,3,4.2%,34,82.9%,7,17.1%,11,78.6%,3,21.4%,181,87.0%,27,13.0%,13,100.0%,Mar.csv 2018
Thames Valley,6,100.0%,0,0.0%,284,79.8%,72,20.2%,35,79.5%,9,20.5%,29,78.4%,8,21.6%,7,70.0%,3,30.0%,175,92.1%,15,7.9%,22,78.6%,6,21.4%,55,91.7%,5,8.3%,116,95.1%,6,4.9%,70,89.7%,8,10.3%,13,100.0%,0,0.0%,302,91.8%,27,8.2%,30,100.0%,Mar.csv 2018
Warwickshire,2,100.0%,0,0.0%,68,80.0%,17,20.0%,9,60.0%,6,40.0%,7,100.0%,0,0.0%,8,88.9%,1,11.1%,29,80.6%,7,19.4%,3,75.0%,1,25.0%,5,71.4%,2,28.6%,20,87.0%,3,13.0%,9,75.0%,3,25.0%,4,80.0%,1,20.0%,61,84.7%,11,15.3%,11,100.0%,Mar.csv 2018
West Mercia,1,25.0%,3,75.0%,179,82.5%,38,17.5%,21,72.4%,8,27.6%,15,100.0%,0,0.0%,9,90.0%,1,10.0%,117,96.7%,4,3.3%,11,78.6%,3,21.4%,31,79.5%,8,20.5%,43,86.0%,7,14.0%,45,88.2%,6,11.8%,8,72.7%,3,27.3%,184,89.8%,21,10.2%,16,100.0%,Mar.csv 2018
West Midlands,6,85.7%,1,14.3%,574,80.2%,142,19.8%,40,58.8%,28,41.2%,56,88.9%,7,11.1%,29,76.3%,9,23.7%,455,93.6%,31,6.4%,50,84.7%,9,15.3%,99,86.1%,16,13.9%,223,94.9%,12,5.1%,272,87.7%,38,12.3%,54,91.5%,5,8.5%,319,88.9%,40,11.1%,83,100.0%,Mar.csv 2018
West Yorkshire,3,100.0%,0,0.0%,439,74.9%,147,25.1%,74,84.1%,14,15.9%,59,81.9%,13,18.1%,27,93.1%,2,6.9%,233,94.0%,15,6.0%,18,78.3%,5,21.7%,96,90.6%,10,9.4%,88,93.6%,6,6.4%,109,92.4%,9,7.6%,28,90.3%,3,9.7%,288,84.0%,55,16.0%,29,100.0%,Mar.csv 2018
Wiltshire,0,-,0,-,83,90.2%,9,9.8%,8,100.0%,0,0.0%,11,100.0%,0,0.0%,1,100.0%,0,0.0%,82,95.3%,4,4.7%,14,100.0%,0,0.0%,17,100.0%,0,0.0%,26,100.0%,0,0.0%,14,70.0%,6,30.0%,2,100.0%,0,0.0%,69,95.8%,3,4.2%,4,100.0%,Mar.csv 2018
National,80,80.0%,20,20.0%,"8,018",79.5%,"2,070",20.5%,853,74.7%,289,25.3%,875,89.1%,107,10.9%,294,78.8%,79,21.2%,"5,134",92.4%,425,7.6%,721,87.3%,105,12.7%,"1,356",84.3%,252,15.7%,"2,940",93.4%,209,6.6%,"2,462",86.8%,373,13.2%,680,86.6%,105,13.4%,"5,954",86.5%,933,13.5%,894,100.0%,Dec.csv 2018
Avon and Somerset,0,-,0,-,203,83.9%,39,16.1%,48,80.0%,12,20.0%,26,83.9%,5,16.1%,7,87.5%,1,12.5%,126,94.7%,7,5.3%,19,100.0%,0,0.0%,38,92.7%,3,7.3%,61,95.3%,3,4.7%,64,83.1%,13,16.9%,10,76.9%,3,23.1%,137,94.5%,8,5.5%,36,100.0%,Dec.csv 2018
Bedfordshire,0,-,0,-,77,75.5%,25,24.5%,7,100.0%,0,0.0%,18,90.0%,2,10.0%,2,100.0%,0,0.0%,43,84.3%,8,15.7%,4,80.0%,1,20.0%,13,76.5%,4,23.5%,22,100.0%,0,0.0%,17,89.5%,2,10.5%,1,50.0%,1,50.0%,69,84.1%,13,15.9%,14,100.0%,Dec.csv 2018
Cambridgeshire,0,-,0,-,115,81.6%,26,18.4%,7,77.8%,2,22.2%,11,78.6%,3,21.4%,0,0.0%,2,100.0%,57,95.0%,3,5.0%,10,90.9%,1,9.1%,24,92.3%,2,7.7%,23,88.5%,3,11.5%,27,90.0%,3,10.0%,3,60.0%,2,40.0%,63,95.5%,3,4.5%,17,100.0%,Dec.csv 2018
Cheshire,1,50.0%,1,50.0%,206,80.5%,50,19.5%,22,75.9%,7,24.1%,18,85.7%,3,14.3%,8,100.0%,0,0.0%,126,92.6%,10,7.4%,7,87.5%,1,12.5%,41,93.2%,3,6.8%,61,92.4%,5,7.6%,77,85.6%,13,14.4%,11,100.0%,0,0.0%,190,84.8%,34,15.2%,18,100.0%,Dec.csv 2018
Cleveland,0,-,0,-,94,74.6%,32,25.4%,5,83.3%,1,16.7%,31,88.6%,4,11.4%,6,100.0%,0,0.0%,181,94.3%,11,5.7%,11,91.7%,1,8.3%,33,100.0%,0,0.0%,59,96.7%,2,3.3%,41,89.1%,5,10.9%,4,100.0%,0,0.0%,50,80.6%,12,19.4%,5,100.0%,Dec.csv 2018
Cumbria,1,100.0%,0,0.0%,101,87.1%,15,12.9%,4,100.0%,0,0.0%,1,100.0%,0,0.0%,1,50.0%,1,50.0%,60,95.2%,3,4.8%,5,71.4%,2,28.6%,11,78.6%,3,21.4%,22,100.0%,0,0.0%,35,92.1%,3,7.9%,5,100.0%,0,0.0%,77,91.7%,7,8.3%,1,100.0%,Dec.csv 2018
Derbyshire,1,100.0%,0,0.0%,129,82.2%,28,17.8%,8,88.9%,1,11.1%,13,100.0%,0,0.0%,3,100.0%,0,0.0%,120,89.6%,14,10.4%,11,100.0%,0,0.0%,21,75.0%,7,25.0%,42,95.5%,2,4.5%,44,81.5%,10,18.5%,16,51.6%,15,48.4%,82,82.8%,17,17.2%,8,100.0%,Dec.csv 2018
Devon and Cornwall,1,100.0%,0,0.0%,152,84.0%,29,16.0%,11,100.0%,0,0.0%,11,100.0%,0,0.0%,3,60.0%,2,40.0%,78,95.1%,4,4.9%,5,83.3%,1,16.7%,32,94.1%,2,5.9%,38,88.4%,5,11.6%,33,78.6%,9,21.4%,5,100.0%,0,0.0%,151,87.3%,22,12.7%,10,100.0%,Dec.csv 2018
Dorset,0,-,0,-,97,89.8%,11,10.2%,5,62.5%,3,37.5%,12,92.3%,1,7.7%,5,100.0%,0,0.0%,72,96.0%,3,4.0%,10,100.0%,0,0.0%,15,78.9%,4,21.1%,35,97.2%,1,2.8%,22,71.0%,9,29.0%,8,80.0%,2,20.0%,117,93.6%,8,6.4%,22,100.0%,Dec.csv 2018
Durham,3,100.0%,0,0.0%,81,79.4%,21,20.6%,2,100.0%,0,0.0%,18,85.7%,3,14.3%,1,100.0%,0,0.0%,80,88.9%,10,11.1%,4,100.0%,0,0.0%,19,86.4%,3,13.6%,8,100.0%,0,0.0%,26,96.3%,1,3.7%,3,100.0%,0,0.0%,58,95.1%,3,4.9%,4,100.0%,Dec.csv 2018
Dyfed Powys,0,-,0,-,42,80.8%,10,19.2%,9,90.0%,1,10.0%,4,80.0%,1,20.0%,0,0,0,0,24,82.8%,5,17.2%,1,100.0%,0,0.0%,14,100.0%,0,0.0%,31,100.0%,0,0.0%,16,84.2%,3,15.8%,3,75.0%,1,25.0%,46,92.0%,4,8.0%,5,100.0%,Dec.csv 2018
Essex,1,100.0%,0,0.0%,189,79.1%,50,20.9%,29,74.4%,10,25.6%,30,96.8%,1,3.2%,5,100.0%,0,0.0%,109,96.5%,4,3.5%,24,82.8%,5,17.2%,26,78.8%,7,21.2%,91,93.8%,6,6.2%,50,87.7%,7,12.3%,9,81.8%,2,18.2%,203,82.5%,43,17.5%,23,100.0%,Dec.csv 2018
Gloucestershire,1,100.0%,0,0.0%,57,90.5%,6,9.5%,3,100.0%,0,0.0%,10,100.0%,0,0.0%,1,100.0%,0,0.0%,37,97.4%,1,2.6%,3,60.0%,2,40.0%,11,100.0%,0,0.0%,17,100.0%,0,0.0%,13,100.0%,0,0.0%,4,80.0%,1,20.0%,38,88.4%,5,11.6%,5,100.0%,Dec.csv 2018
GreaterManchester,9,90.0%,1,10.0%,378,84.0%,72,16.0%,51,75.0%,17,25.0%,45,100.0%,0,0.0%,18,81.8%,4,18.2%,119,94.4%,7,5.6%,9,69.2%,4,30.8%,66,95.7%,3,4.3%,88,95.7%,4,4.3%,120,88.9%,15,11.1%,26,89.7%,3,10.3%,202,91.8%,18,8.2%,26,100.0%,Dec.csv 2018
Gwent,2,100.0%,0,0.0%,60,80.0%,15,20.0%,6,75.0%,2,25.0%,3,75.0%,1,25.0%,3,60.0%,2,40.0%,42,97.7%,1,2.3%,4,80.0%,1,20.0%,13,68.4%,6,31.6%,23,92.0%,2,8.0%,12,100.0%,0,0.0%,4,66.7%,2,33.3%,55,88.7%,7,11.3%,5,100.0%,Dec.csv 2018
Hampshire,2,100.0%,0,0.0%,225,83.0%,46,17.0%,20,74.1%,7,25.9%,27,87.1%,4,12.9%,7,87.5%,1,12.5%,171,93.4%,12,6.6%,35,97.2%,1,2.8%,42,84.0%,8,16.0%,71,91.0%,7,9.0%,71,94.7%,4,5.3%,16,100.0%,0,0.0%,178,88.6%,23,11.4%,20,100.0%,Dec.csv 2018
Hertfordshire,6,85.7%,1,14.3%,130,81.8%,29,18.2%,6,85.7%,1,14.3%,8,100.0%,0,0.0%,5,100.0%,0,0.0%,99,88.4%,13,11.6%,17,94.4%,1,5.6%,22,73.3%,8,26.7%,49,89.1%,6,10.9%,32,86.5%,5,13.5%,8,80.0%,2,20.0%,96,78.7%,26,21.3%,16,100.0%,Dec.csv 2018
Humberside,1,50.0%,1,50.0%,165,83.3%,33,16.7%,9,75.0%,3,25.0%,23,88.5%,3,11.5%,4,50.0%,4,50.0%,123,95.3%,6,4.7%,25,92.6%,2,7.4%,26,72.2%,10,27.8%,32,97.0%,1,3.0%,41,95.3%,2,4.7%,10,76.9%,3,23.1%,80,88.9%,10,11.1%,17,100.0%,Dec.csv 2018
Kent,0,-,0,-,230,75.4%,75,24.6%,16,76.2%,5,23.8%,14,73.7%,5,26.3%,2,66.7%,1,33.3%,149,91.4%,14,8.6%,29,87.9%,4,12.1%,39,88.6%,5,11.4%,72,87.8%,10,12.2%,50,83.3%,10,16.7%,21,95.5%,1,4.5%,157,90.8%,16,9.2%,42,100.0%,Dec.csv 2018
Lancashire,0,0.0%,1,100.0%,245,78.8%,66,21.2%,11,91.7%,1,8.3%,26,92.9%,2,7.1%,5,83.3%,1,16.7%,183,94.3%,11,5.7%,23,82.1%,5,17.9%,52,88.1%,7,11.9%,42,95.5%,2,4.5%,119,88.1%,16,11.9%,18,100.0%,0,0.0%,202,82.8%,42,17.2%,25,100.0%,Dec.csv 2018
Leicestershire,2,50.0%,2,50.0%,178,80.9%,42,19.1%,19,67.9%,9,32.1%,19,90.5%,2,9.5%,3,100.0%,0,0.0%,88,94.6%,5,5.4%,13,81.3%,3,18.8%,22,84.6%,4,15.4%,27,93.1%,2,6.9%,37,88.1%,5,11.9%,9,81.8%,2,18.2%,84,83.2%,17,16.8%,17,100.0%,Dec.csv 2018
Lincolnshire,3,100.0%,0,0.0%,89,82.4%,19,17.6%,3,100.0%,0,0.0%,4,100.0%,0,0.0%,1,100.0%,0,0.0%,91,92.9%,7,7.1%,10,100.0%,0,0.0%,12,80.0%,3,20.0%,33,100.0%,0,0.0%,34,85.0%,6,15.0%,13,100.0%,0,0.0%,107,82.3%,23,17.7%,11,100.0%,Dec.csv 2018
Merseyside,2,100.0%,0,0.0%,260,76.9%,78,23.1%,23,76.7%,7,23.3%,11,100.0%,0,0.0%,9,100.0%,0,0.0%,138,93.9%,9,6.1%,24,96.0%,1,4.0%,40,71.4%,16,28.6%,161,95.3%,8,4.7%,57,79.2%,15,20.8%,12,85.7%,2,14.3%,182,84.7%,33,15.3%,15,100.0%,Dec.csv 2018
Metropolitan and City,12,60.0%,8,40.0%,"1,092",71.6%,433,28.4%,145,70.7%,60,29.3%,149,87.6%,21,12.4%,65,74.7%,22,25.3%,637,89.3%,76,10.7%,174,84.9%,31,15.1%,145,76.7%,44,23.3%,758,91.8%,68,8.2%,350,80.1%,87,19.9%,188,88.7%,24,11.3%,952,79.8%,241,20.2%,213,100.0%,Dec.csv 2018
Norfolk,1,100.0%,0,0.0%,131,85.6%,22,14.4%,14,93.3%,1,6.7%,6,66.7%,3,33.3%,1,50.0%,1,50.0%,100,94.3%,6,5.7%,5,83.3%,1,16.7%,30,88.2%,4,11.8%,61,95.3%,3,4.7%,69,93.2%,5,6.8%,9,100.0%,0,0.0%,141,95.9%,6,4.1%,13,100.0%,Dec.csv 2018
Northamptonshire,2,66.7%,1,33.3%,105,84.7%,19,15.3%,2,100.0%,0,0.0%,6,75.0%,2,25.0%,4,80.0%,1,20.0%,40,87.0%,6,13.0%,6,75.0%,2,25.0%,21,87.5%,3,12.5%,19,90.5%,2,9.5%,25,96.2%,1,3.8%,14,82.4%,3,17.6%,75,84.3%,14,15.7%,11,100.0%,Dec.csv 2018
Northumbria,2,100.0%,0,0.0%,206,72.8%,77,27.2%,35,67.3%,17,32.7%,44,93.6%,3,6.4%,8,66.7%,4,33.3%,187,90.3%,20,9.7%,17,81.0%,4,19.0%,47,82.5%,10,17.5%,40,90.9%,4,9.1%,109,87.2%,16,12.8%,15,83.3%,3,16.7%,148,86.0%,24,14.0%,16,100.0%,Dec.csv 2018
North Wales,3,100.0%,0,0.0%,134,83.8%,26,16.3%,9,64.3%,5,35.7%,12,100.0%,0,0.0%,1,50.0%,1,50.0%,82,96.5%,3,3.5%,7,100.0%,0,0.0%,30,93.8%,2,6.3%,16,94.1%,1,5.9%,36,92.3%,3,7.7%,4,66.7%,2,33.3%,97,88.2%,13,11.8%,8,100.0%,Dec.csv 2018
North Yorkshire,0,-,0,-,98,79.0%,26,21.0%,2,100.0%,0,0.0%,14,87.5%,2,12.5%,2,66.7%,1,33.3%,71,89.9%,8,10.1%,10,100.0%,0,0.0%,21,87.5%,3,12.5%,24,100.0%,0,0.0%,28,82.4%,6,17.6%,14,73.7%,5,26.3%,83,93.3%,6,6.7%,14,100.0%,Dec.csv 2018
Nottinghamshire,4,100.0%,0,0.0%,172,75.8%,55,24.2%,34,69.4%,15,30.6%,23,88.5%,3,11.5%,13,86.7%,2,13.3%,152,96.8%,5,3.2%,17,77.3%,5,22.7%,34,89.5%,4,10.5%,94,87.0%,14,13.0%,56,91.8%,5,8.2%,18,81.8%,4,18.2%,107,92.2%,9,7.8%,27,100.0%,Dec.csv 2018
South Wales,5,100.0%,0,0.0%,251,76.1%,79,23.9%,30,83.3%,6,16.7%,32,94.1%,2,5.9%,8,72.7%,3,27.3%,188,92.2%,16,7.8%,22,84.6%,4,15.4%,48,87.3%,7,12.7%,115,93.5%,8,6.5%,101,93.5%,7,6.5%,23,100.0%,0,0.0%,183,87.1%,27,12.9%,11,100.0%,Dec.csv 2018
South Yorkshire,0,-,0,-,204,79.7%,52,20.3%,8,80.0%,2,20.0%,32,78.0%,9,22.0%,12,66.7%,6,33.3%,138,94.5%,8,5.5%,15,93.8%,1,6.3%,44,89.8%,5,10.2%,65,92.9%,5,7.1%,45,81.8%,10,18.2%,14,100.0%,0,0.0%,82,75.9%,26,24.1%,16,100.0%,Dec.csv 2018
Staffordshire,2,100.0%,0,0.0%,160,78.4%,44,21.6%,28,82.4%,6,17.6%,15,88.2%,2,11.8%,4,66.7%,2,33.3%,98,90.7%,10,9.3%,11,78.6%,3,21.4%,31,79.5%,8,20.5%,55,90.2%,6,9.8%,50,94.3%,3,5.7%,14,93.3%,1,6.7%,129,90.2%,14,9.8%,18,100.0%,Dec.csv 2018
